B, F1, F2, H, B, H1, H2, F, comm_cost, num_nodes, mem_cost
2,1,1,8,1,2,1,8,93323264.0,32,84934656.0
2,1,1,4,4,1,1,1,94371840.0,12,131072000.0
2,1,1,8,2,1,2,4,94371840.0,32,84934656.0
2,1,2,4,2,1,1,8,94371840.0,32,84934656.0
2,2,1,4,4,1,1,2,94371840.0,24,87031808.0
4,1,1,1,2,1,1,4,94371840.0,12,131072000.0
4,1,1,2,2,2,1,4,94371840.0,24,87031808.0
1,1,1,4,8,1,1,2,96468992.0,20,124780544.0
1,1,1,16,2,1,1,2,96468992.0,20,136577024.0
1,1,1,16,8,1,1,1,96468992.0,24,92536832.0
1,2,1,8,8,1,1,2,96468992.0,32,73924608.0
2,1,1,2,1,1,1,16,96468992.0,20,136577024.0
2,1,1,4,2,2,1,4,96468992.0,24,94371840.0
2,2,1,4,2,1,1,4,96468992.0,24,94371840.0
4,1,1,2,4,1,2,2,96468992.0,24,87031808.0
4,1,1,2,4,2,1,2,96468992.0,24,83886080.0
4,1,2,2,4,1,1,2,96468992.0,24,87031808.0
4,2,1,2,4,1,1,2,96468992.0,24,83886080.0
8,1,1,1,1,1,1,16,96468992.0,24,92536832.0
8,1,1,2,1,1,1,4,96468992.0,20,124780544.0
8,1,1,2,1,2,1,8,96468992.0,32,73924608.0
2,1,1,8,8,1,2,1,97517568.0,32,73924608.0
2,1,2,4,8,1,1,2,97517568.0,32,73924608.0
8,1,1,2,2,1,2,4,97517568.0,32,73924608.0
8,1,2,1,2,1,1,8,97517568.0,32,73924608.0
2,1,1,4,4,1,2,2,98566144.0,24,94371840.0
2,1,1,4,4,2,1,2,98566144.0,24,91226112.0
4,1,1,4,16,1,1,1,98566144.0,32,49283072.0
4,1,2,2,2,1,1,4,98566144.0,24,94371840.0
4,2,1,2,2,1,1,4,98566144.0,24,91226112.0
16,1,1,1,4,1,1,4,98566144.0,32,49283072.0
1,1,1,4,4,1,1,2,100663296.0,12,145752064.0
1,1,1,8,1,1,1,8,100663296.0,16,135266304.0
1,1,1,16,4,1,1,1,100663296.0,20,130285568.0
1,2,1,8,4,1,1,2,100663296.0,24,94896128.0
